#,Year,OrientationJ mode,Field / application,Reference,Usage extract,DOI,Title,Journal,Authors
277,2026,orientation/coherency analysis,bioprinted tissue engineering,Neuhäusler et al. (2026),The line diameter and fiber alignment were subsequently analyzed using fluorescence microscopy and the OrientationJ plugin (FIJI).,10.1016/j.bioactmat.2025.09.027,Cell-instructive microfibers enable programmable alignment of bioprinted hMSC,Bioactive Materials,"Neuhäusler A, Kötting N, Keuper L, Lindner N, Schätzlein E, Blaeser A."
278,2026,Coherency map,bone marrow fibrosis in myelofibrosis,Melo et al. (2026),Fiber organization (coherency) and proximity (uniformity) were evaluated with the OrientationJ plugin using the same AOIs.,10.1002/hon.70163,Metformin Downregulates the STAT Pathway and Reduces Bone Marrow Fibrosis in Primary Myelofibrosis Patients: Final Results of the Phase II FIBROMET Trial,Hematological Oncology,"Melo Campos P, Pagnano KBB, Niemann FS, Mancuso RI, Della Via FI, Congrains A, Coelho-Silva JL, Tinoco ÂC, Assis-Mendonça GR, Freitas LLL, Traina F, Saad STO."
279,2026,Distribution (directionality histogram),bone/mineralized tissue,Lin et al. (2026),"the Riesz Filters method was utilized within the OrientationJ plugin for orientation analysis, and orientation distribution map",10.1038/s41536-025-00448-5,Spatiotemporal dynamics and regulation of suture morphology and collagen remodeling during trans-sutural distraction osteogenesis,npj Regenerative Medicine,"Lin Z, Chen Y, Zhang P, Jin M, Zha Y, Zhao Z."
280,2026,Directionality (directionality histogram),bone/mineralized tissue,Zhao et al. (2026),"The directionality of aligned collagen matrix and new bone matrix was analyzed using the ""Directionality"" and ""OrientationJ"" plugins in Fiji software.",,Spatiotemporally programming the immune-osteogenic cascade with a dual-immunomodulatory scaffold for functional bone regeneration,,"Zhao H, Wang Q, Lin W, Qiao R, Wang Y, Xu T, Xing H, Wei Y, Chen J, Lai Q."
281,2026,orientation/coherency analysis,cardiac endothelial cells,Brown et al. (2026),alignment analysis was performed on 10 representative non-overlapping images for each shear condition using ImageJ with the OrientationJ plugin,10.1007/s10439-026-03973-6,Shear Stress Initiates Endothelial-to-Mesenchymal Transition in Endocardial Endothelial Cells,Annals of Biomedical Engineering,"Brown KN, Phan HKT, Mustafa T, Jui E, Ahmad FN, Birla RK, Sucosky P, Connell JP, Keswani SG, Grande-Allen KJ."
282,2026,Distribution (directionality histogram) + structure-tensor order parameter,cardiac tissue engineering,Mousavi et al. (2026),Cell alignment was evaluated using the OrientationJ plugin by generating orientation histograms and calculating the Orientational Order Parameter (OOP).,10.1002/smll.202504493,Heart-On-a-Chip with Integrated Ultrasoft Mechanosensors for Continuous Measurement of Cell- and Tissue-Scale Contractile Stresses,Small,"Mousavi A, Boghdady CM, Cui S, Rostami S, Shakeri A, Rafatian N, Aurousseau M, Andelfinger G, Radisic M, Moraes C, Savoji H."
283,2026,orientation/coherency analysis,cell alignment in bioelectronic tissue,Cheah et al. (2026),Image analysis was performed on FIJI‐J using the OrientationJ plugin to determine cell alignment.,10.1002/adhm.202502757,Customizable Fabrication of 2D and Conformal Multielectrode Arrays for 3D Printed Organotypic Bioelectronic Interfaces,Advanced Healthcare Materials,"Cheah E, Gao X, Jaw WQ, Goh GL, Lee JM, Huang C, Chew SY, Yeong WY."
284,2026,orientation/coherency analysis,cell membrane cytoskeleton architecture,Bathe-Peters et al. (2026),Extraction of orientation analysis using OrientationJ for control and µg conditions at the basolateral membrane and a plane through the perinuclear region,10.1038/s41526-026-00587-z,Effects of altered gravity on adrenergic-mediated cAMP signalling in intact cells,npj Microgravity,"Bathe-Peters M, Sohail I, Sirbu A, Schneider K, Patriarchi T, Anilkumar A, Lichterfeld Y, Liemersdorf C, de Lanerolle P, Annibale P."
285,2026,Coherency map,collagen/ECM in ovarian fibrosis,Aitken et al. (2026),images were analyzed using the OrientationJ plugin to generate a coherency map and calculate the directional coherency coefficient,10.1002/mrd.70107,Ovarian Fibrosis Through Comparative Analysis of Collagen Architecture,Molecular Reproduction and Development,"Aitken CJ, Kadhim L, Murray A, Landry DA."
286,2026,Distribution (directionality histogram),collagen/ECM in tumors,Corsini et al. (2026),"we investigated the fibril orientation in ECM in Sk-Mel-31 and OVCAR3-derived tumor sections using the OrientationJ plugin of ImageJ, which provide a visual representation of fibril orientation distribution",10.1038/s41419-025-08404-3,Aberrant VEGFR2 supports tumor growth by extracellular matrix remodeling,Cell Death & Disease,"Corsini M, Ravelli C, Domenichini M, Ventura A, Maggi C, Moreschi E, Tamma M, Romani C, Piccoli C, Grillo E, Mitola S."
287,2026,structure tensor & coherency analysis,connective tissue biomechanics,Karunaseelan et al. (2026),The local orientation and isotropic properties of the fibrous structures were derived from a 2 x 2 symmetric structure tensor generated for each pixel using ImageJ software and the OrientationJ plugin,10.1371/journal.pone.0343718,Multi-axial strain mapping to characterise structure and material properties of the human hip capsule,PLOS One,"Karunaseelan KJ, Ng KCG, Muirhead-Allwood SK, van Arkel RJ, Jeffers JRT."
